price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,zipcode,sqft_living15,sqft_lot15,sale_age,umur,rennovated,basement,viewed
221900.0,3,1.0,1180,5650,1.0,0,3,7,1180,98178,1340,5650,59,59,0,0,0
538000.0,3,2.0,2570,7242,2.0,0,3,7,2170,98125,1690,7639,23,63,1,1,0
180000.0,2,1.0,770,10000,1.0,0,3,6,770,98028,2720,8062,82,82,0,0,0
604000.0,4,3.0,1960,5000,1.0,0,5,7,1050,98136,1360,5000,49,49,0,1,0
510000.0,3,2.0,1680,8080,1.0,0,3,8,1680,98074,1800,7503,28,28,0,0,0
1225000.0,4,4.0,5420,101930,1.0,0,3,11,3890,98053,4760,101930,13,13,0,1,0
257500.0,3,2.0,1715,6819,2.0,0,3,7,1715,98003,2238,6819,19,19,0,0,0
291850.0,3,1.0,1060,9711,1.0,0,3,7,1060,98198,1650,9711,52,52,0,0,0
229500.0,3,1.0,1780,7470,1.0,0,3,7,1050,98146,1780,8113,55,55,0,1,0
323000.0,3,2.0,1890,6560,2.0,0,3,7,1890,98038,2390,7570,12,12,0,0,0
662500.0,3,2.0,3560,9796,1.0,0,3,8,1860,98007,2210,8925,50,50,0,1,0
468000.0,2,1.0,1160,6000,1.0,0,4,7,860,98115,1330,6000,72,72,0,1,0
310000.0,3,1.0,1430,19901,1.5,0,4,7,1430,98028,1780,12697,87,87,0,0,0
400000.0,3,1.0,1370,9680,1.0,0,4,7,1370,98074,1370,10208,37,37,0,0,0
530000.0,5,2.0,1810,4850,1.5,0,3,7,1810,98107,1360,4850,115,115,0,0,0
650000.0,4,3.0,2950,5000,2.0,0,3,9,1980,98126,2140,4000,36,36,0,1,1
395000.0,3,2.0,1890,14040,2.0,0,3,7,1890,98019,1890,14018,20,20,0,0,0
485000.0,4,1.0,1600,4300,1.5,0,4,7,1600,98103,1610,4300,98,98,0,0,0
189000.0,2,1.0,1200,9850,1.0,0,4,7,1200,98002,1060,5095,93,93,0,0,0
230000.0,3,1.0,1250,9774,1.0,0,4,7,1250,98003,1280,8850,46,46,0,0,0
385000.0,4,1.0,1620,4980,1.0,0,4,7,860,98133,1400,4980,67,67,0,1,0
2000000.0,3,2.0,3050,44867,1.0,0,3,9,2330,98040,4110,20336,46,46,0,1,1
285000.0,5,2.0,2270,6300,2.0,0,3,8,2270,98092,2240,7005,19,19,0,0,0
252700.0,2,1.0,1070,9643,1.0,0,3,7,1070,98030,1220,8386,29,29,0,0,0
329000.0,3,2.0,2450,6500,2.0,0,4,8,2450,98030,2200,6865,29,29,0,0,0
233000.0,3,2.0,1710,4697,1.5,0,5,6,1710,98002,1030,4705,73,73,0,0,0
937000.0,3,1.0,2450,2691,2.0,0,3,8,1750,98119,1760,3573,99,99,0,1,0
667000.0,3,1.0,1400,1581,1.5,0,5,8,1400,98112,1860,3861,105,105,0,0,0
438000.0,3,1.0,1520,6380,1.0,0,3,7,790,98115,1520,6235,66,66,0,1,0
719000.0,4,2.0,2570,7173,2.0,0,3,8,2570,98052,2630,6026,10,10,0,0,0
